Books
Seduction in Death 
Innocent in Death 
Child 44 
The Cabinet of Curiosities 
Homicide in Hardcover 
Trunk Music 
Full Dark House 
Presumed Innocent 
"Crooked Letter, Crooked Letter "
A Poisoned Season 
A Most Agreeable Murder 
The Heiress 
The Stranger 
Harry Potter and the Prisoner of Azkaban 
Blue Shoes and Happiness 
Annihilation 
Dead Beat 
The Face on the Milk Carton 
The Casual Vacancy 
Someone We Know 
The Shining Girls 
The Austere Academy 
Three Times Lucky 
The Blackhouse 
The Twyford Code 
Y is for Yesterday 
Journey to Munich 
The Cat Who Ate Danish Modern 
Purity in Death 
The Drop 
Marple: Twelve New Mysteries 
The House at Riverton 
Flawless 
Reunion in Death 
The Miserable Mill 
The Clue in the Diary 
Lemon Meringue Pie Murder 
A Mind to Murder 
The Atlas Six 
The Yard 
S. 
The Twist of a Knife 
The Frozen River 
The Reversal 
Devil Bones 
The Runaway Jury 
The Midnight Feast 
Divided in Death 
Lost Light 
A Dying Fall 
The Secret of Red Gate Farm 
Visions in Death 
The Mystery of Mrs. Christie 
The Ape Who Guards the Balance 
The Closers 
Murder on Cold Street 
Survivor In Death 
Dangerous Girls 
Proven Guilty 
Born in Death 
The Honjin Murders 
Dead Over Heels 
The Sherlockian 
Dead in the Family 
Invisible Girl 
Imitation in Death 
206 Bones 
The Breakdown 
The Ersatz Elevator 
Death by Dumpling 
Pieces of Her 
Don't Look Back 
7th Heaven 
Murder at the Brightwell 
Six Years 
The Sinner 
The Angel of Darkness 
A Scandal in Bohemia 
An Unexpected Peril 
The Chestnut Man 
The Child Finder 
Kindness Goes Unpunished 
Origin in Death 
The Man With a Load of Mischief 
White Night 
Broken Homes 
Naughty in Nice 
Memory in Death 
The Windsor Knot 
Seeing a Large Cat 
The Last Mrs. Parrish 
Genuine Fraud 
Nemesis 
A Thief of Time 
Burial Rites 
Luckiest Girl Alive 
The Wives 
Capturing the Devil 
Gideon the Ninth 
The Leper of Saint Giles 
Shroud for a Nightingale 
The Narrows 
Kingdom of the Wicked 
Mortal Arts 
In This Grave Hour 
Skinwalkers 
The Private Patient 
The Black Box 
"I'd Tell You I Love You, But Then I'd Have to Kill You "
Who Could That Be at This Hour? 
Saint Peter's Fair 
Tripwire 
The Falcon at the Portal 
Gorky Park 
The Vile Village 
Shakespeare's Christmas 
Death in Holy Orders 
Once Upon a River 
A Darkness More Than Night 
The Good Husband of Zebra Drive 
The Cloisters 
These Shallow Graves 
Cat & Mouse 
The Regatta Mystery and Other Stories 
Creation in Death 
La Vérité sur l'Affaire Harry Quebert 
Fingersmith 
Body Double 
Strangers in Death 
The Graveyard Book 
A Bad Day for Sunshine 
Hardcore Twenty-Four 
Poirot's Early Cases: 18 Hercule Poirot Mysteries 
A Stranger in the House 
He Shall Thunder in the Sky 
The Sign of the Twisted Candles 
Little Fires Everywhere 
Lord Peter Views the Body 
Death by Darjeeling 
Promises in Death 
Looking for Alaska 
The Fifth Witness 
Black Notice 
The Potted Gardener 
Sugar Cookie Murder 
Jar of Hearts 
Jar City 
Books Can Be Deceiving 
The Case of the Bizarre Bouquets 
Caught 
Fudge Cupcake Murder 
The Soulmate 
The Luminaries 
Shakespeare's Trollop 
Lost in a Good Book 
A Murder in Time 
Heartsick 
The Invisible Library 
Dark Road to Darjeeling 
The Tower Treasure 
The Virgin in the Ice 
Destination Unknown 
The Cat Who Saw Red 
The Name of This Book Is Secret 
Disappearing Earth 
For the Sake of Elena 
Wicked Appetite 
Unnatural Causes 
Harry Potter and the Goblet of Fire 
Salvation in Death 
Alone 
All Your Twisted Secrets 
Six Wakes 
Cockroaches 
Fantasy in Death 
Turn Coat 
They Wish They Were Us 
The Red Palace 
Camino Island 
Running Blind 
Look Alive Twenty-Five 
A Fool and His Honey 
Listening Woman 
The Mysterious Case of the Alperton Angels 
Claire DeWitt and the City of the Dead 
Curse of the Spellmans 
The Art Forger 
New York to Dallas 
Celebrity in Death 
The Lighthouse 
The Glass Hotel 
The Wrong Side of Goodbye 
The Teacher 
End of Watch 
Fractured 
Strangers on a Train 
The Outcast Dead 
When Gods Die 
Indulgence in Death 
The Postscript Murders 
Kindred in Death 
A Suitable Vengeance 
Home Is Where the Bodies Are 
The Carnivorous Carnival 
The Cat Who Turned On and Off 
11/22/63 
Small Favor 
Borrower of the Night 
The Hostile Hospital 
And Then There Were None 
Murder on the Orient Express 
The Girl with the Dragon Tattoo 
Gone Girl 
The Girl on the Train 
The Da Vinci Code 
The Silent Patient 
The Mysterious Affair at Styles 
One of Us Is Lying 
The 7 1/2 Deaths of Evelyn Hardcastle 
The Inheritance Games 
The Murder of Roger Ackroyd 
The Cuckoo's Calling 
Angels & Demons 
The Thursday Murder Club 
A Study in Scarlet 
The Guest List 
In the Woods 
Death on the Nile 
Still Life 
The Hound of the Baskervilles 
The Girl Who Played with Fire 
Sharp Objects 
The Sweetness at the Bottom of the Pie 
Where the Crawdads Sing 
The Maid 
The Adventures of Sherlock Holmes 
"Truly, Devious "
We Were Liars 
The A.B.C. Murders 
Murder at the Vicarage 
The Girl Who Kicked the Hornet’s Nest 
Rebecca 
Dark Places 
One for the Money 
"Good Girl, Bad Blood "
The Silkworm 
The Woman in Cabin 10 
The Secret History 
The Westing Game 
Magpie Murders 
Verity 
The Hawthorne Legacy 
The Shadow of the Wind 
The No. 1 Ladies' Detective Agency 
If We Were Villains 
The Lost Symbol 
The Woman in the Window 
The Curious Incident of the Dog in the Night-Time 
The Last Thing He Told Me 
The Sign of Four 
Maisie Dobbs 
The Body in the Library 
The Murder on the Links 
A Fatal Grace 
Career of Evil 
The Paris Apartment 
The Beekeeper's Apprentice 
As Good As Dead 
The Lovely Bones 
The Complete Sherlock Holmes 
Crocodile on the Sandbank 
A Is for Alibi 
Big Little Lies 
The Dry 
The Likeness 
The Thirteenth Tale 
The Man Who Died Twice 
Whose Body? 
Then She Was Gone 
The Final Gambit 
Inferno 
The Name of the Rose 
Hallowe'en Party 
The Big Sleep 
The Cruelest Month 
Everyone in My Family Has Killed Someone 
Two for the Dough 
One of Us Is Next 
A Curious Beginning 
A Murder Is Announced 
Hercule Poirot's Christmas 
Storm Front 
Peril at End House 
The Alienist 
The Maidens 
Ninth House 
The Maltese Falcon 
Evil Under the Sun 
The Mystery of the Blue Train 
The Vanishing Stair 
A Study in Charlotte 
A Rule Against Murder 
The Secret Adversary 
The Weed That Strings the Hangman's Bag 
Naked in Death 
The Turn of the Key 
Stalking Jack the Ripper 
Sadie 
The Woman in White 
The Hunting Party 
"In a Dark, Dark Wood "
The Death of Mrs. Westaway 
4:50 from Paddington 
Lethal White 
Into the Water 
Finlay Donovan Is Killing It 
Crooked House 
The Brutal Telling 
Faithful Place 
Five Little Pigs 
Three to Get Deadly 
Cards on the Table 
The Secret of the Old Clock 
The Naturals 
The Bullet That Missed 
The Housemaid 
The Word is Murder 
The Big Four 
Bury Your Dead 
Two Can Keep a Secret 
The Moonstone 
Vera Wong's Unsolicited Advice for Murderers 
The Beautiful Mystery 
Murder in Mesopotamia 
A Study in Scarlet Women 
Four to Score 
The Sun Down Motel 
The Hand on the Wall 
Appointment with Death 
A Trick of the Light 
The Family Upstairs 
Lord Edgware Dies 
Death in the Clouds 
The Moving Finger 
How the Light Gets In 
Death Comes to Pemberley 
The Memoirs of Sherlock Holmes 
Poirot Investigates 
A Red Herring Without Mustard 
Case Histories 
Mexican Gothic 
High Five 
Broken Harbor 
The Woman in the Library 
Hot Six 
The Man in the Brown Suit 
The Couple Next Door 
1st to Die 
Déjà Dead 
Firekeeper’s Daughter 
Shutter Island 
The Mirror Crack'd from Side to Side 
Before I Go to Sleep 
The Cousins 
Along Came a Spider 
None of This Is True 
A Pocket Full of Rye 
Seven Up 
Miss Peregrine's Home for Peculiar Children 
Pretty Girls 
Rivers of London 
A Caribbean Mystery 
The Secret Place 
Sleeping Murder 
Postmortem 
Rock Paper Scissors 
A Flicker in the Dark 
Mr. Penumbra's 24-Hour Bookstore 
Hard Eight 
Cat Among the Pigeons 
The Long Way Home 
Wrong Place Wrong Time 
Arsenic and Adobo 
The Only One Left 
The Last Devil to Die 
I Am Half-Sick of Shadows 
The Crossing Places 
The Searcher 
Her Royal Spyness 
Night Film 
To the Nines 
Curtain 
At Bertram's Hotel 
Deception Point 
After the Funeral 
The Nature of the Beast 
The Eyre Affair 
One by One 
Killing Floor 
A Great Reckoning 
A Morbid Taste for Bones 
Birds of a Feather 
Dead Until Dark 
Three Act Tragedy 
Cocaine Blues 
Sad Cypress 
The Book of Cold Cases 
Everything I Never Told You 
They Do It With Mirrors 
The Black Echo 
The Trespasser 
Glass Houses 
Strong Poison 
The Broken Girls 
The Witch Elm 
Speaking from Among the Bones 
Gaudy Night 
Digital Fortress 
Eleven on Top 
The Return of Sherlock Holmes 
The House of Silk 
B is for Burglar 
Nemesis 
Ten Big Ones 
Dumb Witness 
Twelve Sharp 
Elephants Can Remember 
Five Survive 
Daisy Darker 
The Daughter of Time 
The Mysterious Benedict Society 
Chocolate Chip Cookie Murder 
Paper Towns 
Eight Perfect Murders 
Lock Every Door 
The Devil and the Dark Water 
Dark Matter 
Lean Mean Thirteen 
We Have Always Lived in the Castle 
Home Before Dark 
The Clocks 
Local Woman Missing 
The Hollow 
Force of Nature 
The Dead in Their Vaulted Arches 
Dr. Jekyll and Mr. Hyde 
The Hidden Staircase 
Fearless Fourteen 
The Last Time I Lied 
The Case of the Missing Marquess 
Clouds of Witness 
Killers of a Certain Age 
All the Missing Girls 
Silent in the Grave 
Kingdom of the Blind 
The Curse of the Pharaohs 
The Thirteen Problems 
"One, Two, Buckle My Shoe "
A Great Deliverance 
The It Girl 
Final Girls 
C is for Corpse 
The Lost Man 
The Lost Apothecary 
The Box in the Woods 
Finger Lickin' Fifteen 
Moonflower Murders 
Mr. Mercedes 
The Thousand-Dollar Tan Line 
Piranesi 
The Valley of Fear 
Real Murders 
Troubled Blood 
Glory in Death 
Ace of Spades 
Behind Closed Doors 
The Lying Game 
Defending Jacob 
A Monstrous Regiment of Women 
Mrs. McGinty's Dead 
The Outsider 
Fool Moon 
Hickory Dickory Dock 
As Chimney Sweepers Come to Dust 
The Silence of the Lambs 
Dead Man's Folly 
The Snowman 
The Snowman 
The Snowman 
The Diviners 
Tears of the Giraffe 
The Lincoln Lawyer 
Endless Night 
Heat Wave 
A Better Man 
All the Devils Are Here 
Flaggermusmannen 
Pardonable Lies 
The Husband's Secret 
D is for Deadbeat 
Third Girl 
Joyland 
The Thin Man 
The Surgeon 
Sometimes I Lie 
Mystic River 
The Devotion of Suspect X 
Why Didn't They Ask Evans? 
The Cold Dish 
Origin 
Cover Her Face 
Kiss the Girls 
The Quiche of Death 
Raven Black 
Smokin' Seventeen 
"My Sister, the Serial Killer "
The Widows of Malabar Hill 
Unnatural Death 
Jackaby 
The Forgotten Garden 
The Reappearance of Rachel Price 
A Time to Kill 
Tell No One 
Sizzling Sixteen 
The House Across the Lake 
The Whisper Man 
Anxious People 
The Nine Tailors 
A Perilous Undertaking 
The Secret of Chimneys 
The Wife Between Us 
Sparkling Cyanide 
How to Solve Your Own Murder 
The Good Daughter 
Pretty Little Liars 
